visualization_filename, serialization
('BPIC15_1/process_tree_case_size_betwee_7_and_8_noise_10.svg', "->( 'register submission date request', +( 'enter senddate acknowledgement', 'phase application received', ->( 'reception through OLO', *( 'send confirmation receipt', tau ) ) ), 'forward to the competent authority', X( tau, ->( 'applicant is stakeholder', 'temporary permit' ) ), 'regular procedure without MER' )")
('BPIC15_1/process_tree_case_size_betwee_7_and_8_noise_50.svg', "->( 'register submission date request', 'enter senddate acknowledgement', 'phase application received', 'reception through OLO', *( 'send confirmation receipt', tau ), 'forward to the competent authority', X( tau, ->( 'applicant is stakeholder', 'temporary permit' ) ), 'regular procedure without MER' )")
('BPIC15_1/process_tree_case_size_betwee_7_and_8_noise_90.svg', "->( 'register submission date request', 'enter senddate acknowledgement', 'phase application received', 'reception through OLO', *( 'send confirmation receipt', tau ), 'forward to the competent authority', 'applicant is stakeholder', 'temporary permit', 'regular procedure without MER' )")
('BPIC15_1/process_tree_case_size_betwee_8_and_11_noise_10.svg', "->( +( 'phase application received', 'register submission date request', ->( X( tau, 'OLO messaging active' ), +( X( tau, 'enter senddate acknowledgement' ), ->( X( tau, ->( 'enter senddate letter to competent authority', X( tau, 'enter senddate letter to stakeholders' ) ) ), +( X( tau, 'enter senddate procedure confirmation' ), ->( X( tau, 'reception through OLO' ), X( tau, 'applicant is stakeholder' ), X( tau, ->( +( X( tau, 'enter date termination request received' ), 'terminate on request' ), X( tau, ->( +( 'message terminate request', 'enter senddate request termination' ), +( 'register deadline', 'phase procedure aborted' ) ) ) ) ), X( tau, +( 'forward to the competent authority', X( tau, 'registration date publication' ), ->( +( *( 'send confirmation receipt', tau ), ->( 'regular procedure without MER', X( tau, ->( X( tau, 'no permit required for application' ), X( tau, ->( 'MER present', 'activities regular procedure' ) ) ), ->( 'create procedure confirmation', X( tau, 'create publication document', 'publish', 'create subcases completeness' ) ) ), X( tau, 'start WABOprocedure' ) ) ), X( tau, 'send procedure confirmation' ) ) ) ) ) ) ) ) ) ), X( tau, 'phased application', *( 'registrer date of publishing received request', tau ), 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_8_and_11_noise_20.svg', "->( +( 'phase application received', 'register submission date request', ->( X( tau, 'OLO messaging active' ), X( tau, ->( +( X( tau, 'enter date termination request received' ), 'terminate on request' ), X( tau, ->( +( 'message terminate request', 'enter senddate request termination' ), +( 'register deadline', 'phase procedure aborted' ) ) ) ) ), +( 'forward to the competent authority', X( tau, 'enter senddate acknowledgement' ), ->( X( tau, ->( 'enter senddate letter to competent authority', X( tau, 'enter senddate letter to stakeholders' ) ) ), +( X( tau, 'enter senddate procedure confirmation' ), ->( X( tau, 'reception through OLO' ), +( X( tau, 'registration date publication' ), ->( +( *( 'send confirmation receipt', tau ), ->( 'regular procedure without MER', X( tau, ->( X( tau, 'no permit required for application' ), X( tau, ->( 'MER present', 'activities regular procedure' ) ) ), ->( 'create procedure confirmation', X( 'create publication document', 'publish', 'create subcases completeness' ) ) ), X( tau, 'start WABOprocedure' ) ) ), X( tau, 'send procedure confirmation' ) ) ) ) ) ) ) ) ), X( tau, 'phased application', *( 'registrer date of publishing received request', tau ), 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_8_and_11_noise_30.svg', "->( +( 'phase application received', ->( X( tau, ->( 'enter date termination request received', +( 'message terminate request', 'enter senddate request termination' ), +( 'register deadline', 'phase procedure aborted' ) ) ), +( 'forward to the competent authority', 'register submission date request', ->( X( tau, 'OLO messaging active' ), X( tau, 'terminate on request' ), +( X( tau, 'start WABOprocedure' ), ->( *( ->( X( tau, 'enter senddate procedure confirmation' ), X( tau, 'enter senddate acknowledgement' ), X( tau, 'reception through OLO' ), +( *( 'send confirmation receipt', tau ), X( tau, ->( 'regular procedure without MER', X( tau, ->( 'create procedure confirmation', X( tau, 'create publication document', 'publish' ) ) ) ) ) ), X( tau, 'send procedure confirmation' ), X( tau, 'registration date publication' ) ), tau ), X( tau, 'create subcases completeness' ) ) ) ) ) ) ), X( tau, 'phased application', *( 'registrer date of publishing received request', tau ), 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_8_and_11_noise_40.svg', "->( X( tau, ->( 'enter date termination request received', +( 'message terminate request', 'enter senddate request termination' ), +( 'register deadline', 'phase procedure aborted' ) ) ), +( 'phase application received', ->( 'register submission date request', X( 'terminate on request', 'OLO messaging active' ), +( X( tau, 'start WABOprocedure' ), ->( +( *( 'send confirmation receipt', tau ), ->( +( 'forward to the competent authority', 'enter senddate acknowledgement', ->( +( X( tau, 'enter senddate procedure confirmation' ), ->( X( tau, 'reception through OLO' ), 'regular procedure without MER', X( tau, 'send procedure confirmation' ) ) ), X( tau, ->( 'create procedure confirmation', X( tau, 'publish' ) ) ) ) ), X( tau, 'create publication document' ) ) ), X( tau, 'registration date publication' ), X( tau, 'create subcases completeness' ) ) ) ) ), X( tau, 'phased application', *( 'registrer date of publishing received request', tau ), 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_8_and_11_noise_50.svg', "->( +( 'phase application received', 'register submission date request', ->( X( tau, 'OLO messaging active' ), X( ->( +( 'message terminate request', 'enter senddate request termination' ), +( 'register deadline', 'phase procedure aborted' ) ), ->( X( ->( X( tau, ->( 'no permit needed or only notification needed', 'applicant is stakeholder' ) ), 'terminate on request' ), ->( X( ->( 'enter senddate acknowledgement', X( tau, ->( 'enter senddate letter to competent authority', 'enter senddate letter to stakeholders' ) ) ), 'enter senddate procedure confirmation' ), 'reception through OLO' ) ), *( 'send confirmation receipt', tau ), 'forward to the competent authority', 'regular procedure without MER', X( tau, 'send procedure confirmation' ), X( tau, 'registration date publication' ), X( tau, 'read field phased application', 'create subcases completeness' ), X( tau, 'start WABOprocedure' ) ) ) ) ), X( tau, 'phased application', *( 'registrer date of publishing received request', tau ), 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_8_and_11_noise_60.svg', "->( +( 'phase application received', 'register submission date request', ->( 'OLO messaging active', X( ->( +( 'message terminate request', 'enter senddate request termination' ), +( 'register deadline', 'phase procedure aborted' ) ), ->( X( ->( 'no permit needed or only notification needed', 'applicant is stakeholder', 'terminate on request' ), ->( X( ->( 'enter senddate acknowledgement', X( tau, ->( 'enter senddate letter to competent authority', 'enter senddate letter to stakeholders' ) ) ), 'enter senddate procedure confirmation' ), 'reception through OLO' ) ), *( 'send confirmation receipt', tau ), 'forward to the competent authority', 'regular procedure without MER', 'send procedure confirmation', X( tau, 'registration date publication' ), X( tau, 'read field phased application', 'create subcases completeness' ), X( tau, 'start WABOprocedure' ) ) ) ) ), X( tau, 'phased application', *( 'registrer date of publishing received request', tau ), 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_8_and_11_noise_70.svg', "->( +( 'phase application received', 'register submission date request', ->( 'OLO messaging active', X( ->( +( 'message terminate request', 'enter senddate request termination' ), +( 'register deadline', 'phase procedure aborted' ) ), ->( X( tau, ->( +( 'enter senddate acknowledgement', X( tau, 'enter senddate letter to competent authority' ) ), X( ->( X( tau, 'enter senddate letter to stakeholders' ), 'reception through OLO' ), ->( 'no permit needed or only notification needed', 'applicant is stakeholder', 'terminate on request' ) ), *( 'send confirmation receipt', tau ), 'forward to the competent authority', 'regular procedure without MER' ) ), 'send procedure confirmation', 'registration date publication', X( tau, 'read field phased application', 'create subcases completeness' ), 'start WABOprocedure' ) ) ) ), X( tau, 'phased application', *( 'registrer date of publishing received request', tau ), 'close case' ) )")
