visualization_filename, serialization
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_1.svg', "->( +( 'Phase of application received', 'Input submission date request', ->( +( X( tau, 'Initiate WABOprocedure' ), 'Provide confirmation receipt', 'Transfer to the competent authority', ->( +( X( tau, 'OLO messaging live' ), ->( X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ), ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), X( tau, +( 'Draft procedure confirmation', 'Routine procedure without MER', X( tau, ->( X( tau, 'Distribute' ), 'Form subcases completeness', 'Amend procedure' ) ) ) ) ) ), X( tau, 'Inspect field phased application', 'Transmit procedure confirmation' ) ) ), X( tau, 'Alert BAG administrator' ) ) ), X( tau, 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_6.svg', "->( +( 'Phase of application received', 'Input submission date request', ->( +( X( tau, 'Initiate WABOprocedure' ), 'Provide confirmation receipt', 'Transfer to the competent authority', ->( +( X( tau, 'OLO messaging live' ), ->( X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ), ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), X( tau, +( 'Draft procedure confirmation', 'Routine procedure without MER', X( tau, ->( X( tau, 'Distribute' ), 'Form subcases completeness', 'Amend procedure' ) ) ) ) ) ), X( tau, 'Inspect field phased application', 'Transmit procedure confirmation' ) ) ), X( tau, 'Alert BAG administrator' ) ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_7.svg', "->( +( 'Phase of application received', 'Input submission date request', ->( +( X( tau, 'Initiate WABOprocedure' ), 'Provide confirmation receipt', 'Transfer to the competent authority', ->( +( X( tau, 'OLO messaging live' ), ->( X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ), ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), X( tau, +( 'Draft procedure confirmation', 'Routine procedure without MER', ->( X( tau, 'Distribute' ), 'Form subcases completeness', 'Amend procedure' ) ) ) ) ), X( tau, 'Inspect field phased application', 'Transmit procedure confirmation' ) ) ), X( tau, 'Alert BAG administrator' ) ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_8.svg', "->( +( 'Phase of application received', 'Input submission date request', ->( +( X( tau, 'Initiate WABOprocedure' ), 'Provide confirmation receipt', 'Transfer to the competent authority', ->( X( tau, 'OLO messaging live' ), X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), X( tau, +( 'Draft procedure confirmation', 'Routine procedure without MER' ) ), X( tau, ->( 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ), X( tau, 'Transmit procedure confirmation' ) ) ), X( tau, 'Alert BAG administrator' ) ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_10.svg', "->( +( 'Phase of application received', 'Input submission date request', ->( X( tau, 'OLO messaging live' ), 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ), ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), *( ->( X( tau, ->( X( tau, ->( 'Transfer to the competent authority', X( tau, 'Routine procedure without MER' ) ) ), X( tau, 'Draft procedure confirmation' ), X( tau, ->( 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ) ) ), X( tau, 'Transmit procedure confirmation' ), X( tau, 'Initiate WABOprocedure' ) ), tau ), X( tau, 'Alert BAG administrator' ) ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_12.svg', "->( +( 'Phase of application received', 'Input submission date request', ->( 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), +( 'Draft procedure confirmation', 'Routine procedure without MER' ), X( tau, ->( 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ), +( X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ), X( tau, 'Alert BAG administrator' ) ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_15.svg', "->( +( 'Input submission date request', ->( 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ), ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), *( ->( X( tau, ->( X( tau, ->( 'Transfer to the competent authority', X( tau, 'Routine procedure without MER' ) ) ), X( tau, 'Draft procedure confirmation' ), X( tau, ->( 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ) ) ), X( tau, 'Phase of application received' ), X( tau, +( X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ) ) ), tau ) ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_16.svg', "->( +( 'Input submission date request', ->( 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ), ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), *( ->( X( tau, ->( 'Transfer to the competent authority', X( tau, 'Routine procedure without MER' ), X( tau, 'Draft procedure confirmation' ), X( tau, ->( 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ) ) ), X( tau, 'Phase of application received' ), X( tau, +( X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ) ) ), tau ) ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_17.svg', "->( +( 'Input submission date request', ->( 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), +( 'Transfer to the competent authority', ->( X( tau, +( 'Draft procedure confirmation', 'Routine procedure without MER' ) ), X( tau, ->( 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ), +( X( tau, 'Phase of application received' ), X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ) ) ) ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_18.svg', "->( +( 'Input submission date request', ->( 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), +( 'Transfer to the competent authority', ->( +( 'Draft procedure confirmation', 'Routine procedure without MER' ), 'Distribute', 'Form subcases completeness', 'Amend procedure', +( X( tau, 'Phase of application received' ), X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ) ) ) ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
